Index,Feature,Factor,Weight,Is Pure
0,00788,1,0.4008438818565401,No
1,01200,1,0.49050632911392406,No
2,01379,1,0.6265822784810127,No
3,01963,1,0.49261603375527424,No
4,02115,1,1.0,Yes
5,02303,1,0.3939873417721519,No
6,02429,1,0.3565400843881857,No
7,02564,1,0.19198312236286924,No
8,02907,1,0.5485232067510549,No
9,02961,1,0.3744725738396624,No
10,03032,1,0.5137130801687764,No
12,03897,1,0.45569620253164556,No
13,04039,1,0.26476793248945146,No
14,04393,1,0.4920886075949367,No
15,04466,1,0.3839662447257384,No
16,04919,1,0.4462025316455696,No
20,05930,1,0.6471518987341772,No
21,06163,1,0.25949367088607594,No
0,00788,2,0.21097046413502107,No
3,01963,2,0.229957805907173,No
6,02429,2,0.27109704641350213,No
7,02564,2,0.2457805907172996,No
8,02907,2,0.23839662447257387,No
9,02961,2,0.2130801687763713,No
10,03032,2,0.20991561181434595,No
11,03086,2,0.33227848101265817,No
12,03897,2,0.5443037974683544,No
13,04039,2,0.3217299578059072,No
15,04466,2,0.21308016877637137,No
16,04919,2,0.2278481012658228,No
17,05078,2,1.0,Yes
19,05877,2,0.2879746835443038,No
21,06163,2,0.26582278481012656,No
0,00788,3,0.3881856540084388,No
1,01200,3,0.509493670886076,No
2,01379,3,0.3734177215189874,No
3,01963,3,0.27742616033755274,No
5,02303,3,0.6060126582278481,No
6,02429,3,0.3723628691983123,No
7,02564,3,0.5622362869198313,No
8,02907,3,0.21308016877637134,No
9,02961,3,0.4124472573839662,No
10,03032,3,0.2763713080168776,No
11,03086,3,0.6677215189873418,No
13,04039,3,0.41350210970464135,No
14,04393,3,0.5079113924050633,No
15,04466,3,0.40295358649789037,No
16,04919,3,0.3259493670886076,No
18,05516,3,1.0,Yes
19,05877,3,0.7120253164556962,No
20,05930,3,0.3528481012658228,No
21,06163,3,0.47468354430379744,No
